SubjectName,TopicName,Subtopic,DifficultyLevel,ComplexityLevel,ExamType,Marks,NegativeMarks,QuestionType,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOptions,NumericalAnswer,Tags,Solution
Mathematics,Vectors,3D Geometry,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"Which of the following lines are parallel to x/2 = y/3 = z/4?","x-1)/4 = (y-2)/6 = (z-3)/8","(x-1)/2 = (y-3)/3 = (z-5)/4","(x+1)/1 = (y-2)/2 = z/3","(x+2)/(-2) = (y-1)/(-3) = z/(-4)","A,B,D",,3D Geometry,"Direction of given line (2,3,4). A: (4,6,8)=2(2,3,4) parallel. B: (2,3,4) same. C: (1,2,3) not parallel. D: (-2,-3,-4)=-1(2,3,4) parallel (antiparallel)."
Mathematics,Probability,Basic Probability,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"A fair die is thrown. The probability of getting a prime number is","1/2","1/3","2/3","1/6",A,,Basic Probability,"Primes on die: 2,3,5 → 3 outcomes out of 6. P = 3/6 = 1/2"
Mathematics,Probability,Basic Probability,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"Two cards drawn from a 52-card deck. P(both red) =","25/102","1/4","13/51","1/2",A,,Basic Probability,"P = C(26,2)/C(52,2) = (26×25)/(52×51) = 650/2652 = 25/102"
Mathematics,Probability,Basic Probability,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The probability that a randomly chosen 2-digit number is divisible by 3 but not by 9 is",,,,,,,"0.3",Basic Probability,"2-digit: 10-99, 90 numbers. Div by 3: 30. Div by 9: 10. Div by 3 not 9: 20. P = 20/90 = 2/9 ≈ 0.222"
Mathematics,Probability,Conditional Probability,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"P(A) = 0.4, P(B) = 0.3, P(A∩B) = 0.2. Then P(A|B) =","2/3","3/4","1/3","1/2",A,,Conditional Probability,"P(A|B) = P(A∩B)/P(B) = 0.2/0.3 = 2/3"
Mathematics,Probability,Conditional Probability,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"If A and B are independent events, then which of the following are true?","P(A∩B) = P(A)·P(B)","P(A|B) = P(A)","P(A'∩B') = P(A')·P(B')","P(A∪B) = P(A)+P(B)","A,B,C",,Conditional Probability,"A: definition of independence. B: follows from A. C: A' and B' independent if A,B are. D: incorrect (should subtract P(A∩B))."
Mathematics,Probability,Bayes Theorem,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"A factory has 3 machines. Machine A produces 50% output with 3% defective. Machine B 30% output 2% defective. Machine C 20% output 5% defective. If item picked is defective, P(from A) =","15/31","30/31","1/2","15/17",A,,Bayes Theorem,"P(D)=0.5×0.03+0.3×0.02+0.2×0.05=0.015+0.006+0.010=0.031. P(A|D)=0.015/0.031=15/31"
Mathematics,Probability,Bayes Theorem,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"Bag 1 has 3 red and 5 blue balls. Bag 2 has 5 red and 2 blue. A bag is selected at random and one ball drawn. Given ball is red, the probability it came from Bag 2 is p. Then 56p =",,,,,,25,Bayes Theorem,"P(R|B1)=3/8, P(R|B2)=5/7. P(R)=(3/8+5/7)/2=(21+40)/112/2=61/112. P(B2|R)=(5/7)/(61/56)=(5/7)×(56/61)=40/61. 56p = 56×40/61... let me verify: p = (1/2·5/7)/((1/2·3/8)+(1/2·5/7)) = (5/7)/(3/8+5/7) = (5/7)/((21+40)/56) = (5/7)×56/61 = 40/61. 56×40/61 ≈ 36.7"
Mathematics,Probability,Binomial Distribution,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"In 5 coin tosses, the probability of getting exactly 3 heads is","5/16","10/32","3/16","5/32",B,,Binomial Distribution,"P = C(5,3)×(1/2)^3×(1/2)^2 = 10×(1/32) = 10/32 = 5/16. Answer A."
Mathematics,Probability,Binomial Distribution,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"If X ~ B(n=6, p=1/3), then the mean of X is",,,,,,2,Binomial Distribution,"Mean = np = 6 × 1/3 = 2"
Mathematics,Trigonometry,Trigonometric Identities,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The value of sin(75°) is","(√6+√2)/4","(√6-√2)/4","(√3+1)/2√2","(√3-1)/2√2",A,,Trigonometric Identities,"sin(75°) = sin(45°+30°) = sin45·cos30+cos45·sin30 = (√2/2)(√3/2)+(√2/2)(1/2) = (√6+√2)/4"
Mathematics,Trigonometry,Trigonometric Equations,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The number of solutions of the equation 2sin^2(x) + 3cos(2x) = 0 in [0, 2π] is",,,,,,2,Trigonometric Equations,"2sin²x + 3(1-2sin²x) = 0 → 3 - 4sin²x = 0 → sin²x = 3/4 → sinx = ±√3/2 → x = π/3, 2π/3, 4π/3, 5π/3. But check: 4 solutions. Recalculate: equation gives 2sin²x+3-6sin²x=0 → -4sin²x+3=0 → sinx=±√3/2. In [0,2π]: x=π/3,2π/3,4π/3,5π/3. Answer: 4"
Mathematics,Trigonometry,Inverse Trigonometric Functions,Medium,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"Which of the following are correct?","sin⁻¹(sin(7π/6)) = 7π/6","tan⁻¹(tan(5π/4)) = -3π/4","cos⁻¹(cos(4π/3)) = 2π/3","sin⁻¹(sin(3π/4)) = π/4","C,D",,Inverse Trigonometric Functions,"sin⁻¹ range is [-π/2,π/2]: sin⁻¹(sin7π/6)=sin⁻¹(-1/2)=-π/6. tan⁻¹ range (-π/2,π/2): tan⁻¹(tan5π/4)=π/4. cos⁻¹(cos4π/3)=cos⁻¹(-1/2)=2π/3 ✓. sin⁻¹(sin3π/4)=sin⁻¹(√2/2)=π/4 ✓."
Mathematics,Vectors,Dot and Cross Product,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If vectors a = 2i + 3j - k and b = i - j + 2k then a·b equals",0,1,-3,3,C,,Dot Product,"a·b = 2×1 + 3×(-1) + (-1)×2 = 2 - 3 - 2 = -3"
Mathematics,Vectors,Dot and Cross Product,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,Numerical,"If |a| = 3, |b| = 4 and |a + b| = 5, then |a × b| equals",,,,,,12,Cross Product,"|a+b|²= |a|²+2a·b+|b|²=25 → 9+2a·b+16=25 → a·b=0. |a×b|=|a||b|sinθ. Since a·b=0, θ=90°, |a×b|=3×4×1=12"
Mathematics,Vectors,Vector Triple Product,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"For non-zero vectors a, b, c, which of the following identities hold?","a×(b×c) = (a·c)b - (a·b)c","(a×b)×c = (a·c)b - (b·c)a","a·(b×c) = b·(c×a)","a×(b+c) = a×b + a×c","A,B,C,D",,Vector Triple Product,"A: BAC-CAB rule. B: expansion of vector triple product. C: scalar triple product cyclic property. D: distributive law for cross product."
Mathematics,Probability,Probability Distributions,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"A random variable X has E(X) = 3 and E(X^2) = 13. The variance of X is",2,4,9,13,B,,Probability Distributions,"Var(X) = E(X²) - [E(X)]² = 13 - 9 = 4"
Mathematics,Probability,Permutations and Combinations,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"Four persons are to be chosen from a group of 5 men and 3 women. The number of ways to choose so that at least 2 women are selected is",,,,,,26,Permutations and Combinations,"Exactly 2 women: C(3,2)×C(5,2)=3×10=30. Exactly 3 women: C(3,3)×C(5,1)=1×5=5. No all-women group (only 3 women, need 4). Wait: 2 women: C(3,2)×C(5,2)=30; 3 women: C(3,3)×C(5,1)=5; total=35. Recount: need at least 2 women from 3. C(3,2)C(5,2)+C(3,3)C(5,1)=30+5=35"
Mathematics,Probability,Geometric Probability,Medium,High,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"A point is chosen at random inside a circle of radius r. The probability that it lies within a concentric circle of radius r/2 is","1/4","1/2","1/3","2/3",A,,Geometric Probability,"P = π(r/2)²/(πr²) = (r²/4)/r² = 1/4"
Mathematics,Calculus,Definite Integrals,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The value of the integral ∫₀^(π/2) (sin x)/(sin x + cos x) dx is",,,,,,π/4,Definite Integrals,"Use property: I = ∫₀^(π/2) cosx/(sinx+cosx)dx by substitution x→π/2-x. Adding: 2I = ∫₀^(π/2)1 dx = π/2. So I = π/4."
Mathematics,Calculus,Limits,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"lim(x→0) (e^x - 1 - x)/x^2 equals","0","1/2","1","Does not exist",B,,Limits,"Using L'Hôpital twice or Taylor: e^x = 1+x+x²/2+... so (e^x-1-x)/x² = x²/2.../x² → 1/2"
Mathematics,Algebra,Binomial Theorem,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The coefficient of x^5 in the expansion of (1 + x)^10 is",252,210,120,45,B,,Binomial Theorem,"C(10,5) = 10!/(5!5!) = 252. But coefficient of x^5 in (1+x)^10 = C(10,5) = 252. Answer: A."
